q4,q5,q7,q8,q10,q11,q13,q15,q16,q18,q19,q21,q22,q24,q25,Satisfied_polls,Change_policy_overall,Change_economy,Change_welfare,Change_strategy,Next_election,Subjective_ideology,sex,birth,edu,party_combined,party_close_h14,Center_party,Liberal_party,Conservative_party,Christian_demo,Social_demo,Left_party,Green_party,Swedish_demo,Treatment_polls,party_close_rec,change_econ_rec,change_welfare_rec,policy_change,policy_change2,econ_rec2,welfare_rec2,change_welfare2,change_economy2,Change_strategy2,gov,seem.to.lose,party,n.months,gain.dif,gain.dif.tot,gain.dif.sq,gain.dif.pos,n.months.sq,age,Next_election2,economy3
,,,,,,,,,,,,1.0,,,3.0,2.0,2.0,2.0,3.0,4.0,1.0,0.0,1940.0,1.0,7.0,3.0,,,,,,,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1,Green Party,1.0,0.2553191489361702,1.2000000000000002,0.0651878678134902,0.2553191489361702,1.0,76.0,2.0,2.0
,,,,1.0,,,,,,,,,,,3.0,2.0,1.0,1.0,3.0,1.0,8.0,0.0,1982.0,1.0,5.0,2.0,,,0.0,,,,,,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0,Conservatives,37.0,-0.145748987854251,-3.6000000000000014,-0.145748987854251,0.145748987854251,1369.0,34.0,0.0,2.0
,,,,1.0,,,,,,,,,,,4.0,1.0,0.0,0.0,2.0,2.0,8.0,1.0,1953.0,0.0,5.0,1.0,,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,Conservatives,37.0,-0.145748987854251,-3.6000000000000014,-0.145748987854251,0.145748987854251,1369.0,63.0,0.0,1.0
,,,,,,,,,,1.0,,,,,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1957.0,0.0,1.0,2.0,,,,,,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,Left Party,18.0,0.1764705882352941,1.2000000000000002,0.0311418685121107,0.1764705882352941,324.0,59.0,0.0,1.0
,,,,,,,,1.0,,,,,,,2.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1945.0,1.0,2.0,2.0,,,,,1.0,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1,Social Democrats,16.0,0.159322033898305,4.699999999999999,0.0253835104854926,0.159322033898305,256.0,71.0,0.0,1.0
,,,,,,,,,,,1.0,,,,5.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1971.0,0.0,7.0,1.0,,,,,,,0.0,,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,Green Party,7.0,-0.3404255319148935,-1.5999999999999996,-0.3404255319148935,0.3404255319148935,49.0,45.0,0.0,2.0
,,1.0,,,,,,,,,,,,,3.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,1938.0,1.0,4.0,3.0,,0.0,,,,,,,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1,Liberal Party,25.0,-0.1666666666666665,-0.8999999999999995,-0.1666666666666665,0.1666666666666665,625.0,78.0,2.0,0.0
,,,,,,,,,,1.0,,,,,3.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1944.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,Left Party,18.0,0.1764705882352941,1.2000000000000002,0.0311418685121107,0.1764705882352941,324.0,72.0,1.0,1.0
,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,0.0,2.0,1.0,7.0,0.0,1947.0,0.0,4.0,2.0,,0.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1,Liberal Party,25.0,-0.1666666666666665,-0.8999999999999995,-0.1666666666666665,0.1666666666666665,625.0,69.0,0.0,2.0
,,,,,,,,,,1.0,,,,,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1945.0,1.0,1.0,2.0,,,,,,1.0,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,Left Party,18.0,0.1764705882352941,1.2000000000000002,0.0311418685121107,0.1764705882352941,324.0,71.0,0.0,1.0
,,,,,,,,,,,,,,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1981.0,1.0,8.0,1.0,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,Sweden Democrats,15.0,0.1676300578034682,2.9000000000000004,0.0280998362791941,0.1676300578034682,225.0,35.0,0.0,1.0
